application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file,publication_number,date_application_produced,date_application_published,main_cpc_label,cpc_labels,main_ipcr_label,ipcr_labels,foreign,continuation,decision,decision_as_of_2020,npe_litigated_count,main_ipcr_label_subclass,filing_year
11889610,2007-08-15,Utility,"KANG, PAUL H",2444,709,229000,3787.0,07650004C2,Patented Case,2009-06-24,ELECTRONIC,,US20070288643A1,2007-12-13,,,7562150,2009-07-14,DELIVERING ELECTRONIC CONTENT,UNDISCOUNTED,false,US20070288643A1-20071213,2007-11-28,2007-12-13,,,G06F1516,G06F1516,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,G06F,2007
11889962,2007-08-17,Utility,"SCHLIENTZ, NATHAN W",1616,514,299000,5949.0,5176.1001-019,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-10-01,ELECTRONIC,,US20080207661A1,2008-08-28,,,7781448,2010-08-24,ONCE DAILY DOSAGE FORMS OF TROSPIUM,UNDISCOUNTED,false,US20080207661A1-20080828,2008-08-14,2008-08-28,,,A61K31438,A61K31438,False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,A61K,2007
11889963,2007-08-17,Utility,"SCHLIENTZ, NATHAN W",1616,514,299000,5945.0,5176.1001-018,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-10-01,ELECTRONIC,,US20080207662A1,2008-08-28,,,7781449,2010-08-24,TROSPIUM CHLORIDE TREATMENT METHOD,UNDISCOUNTED,false,US20080207662A1-20080828,2008-08-14,2008-08-28,,,A61K31438,A61K31438,False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,A61K,2007
11889964,2007-08-17,Utility,"SCHLIENTZ, NATHAN W",1616,514,299000,5966.0,5176.1001.017,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-08-27,ELECTRONIC,,US20080207663A1,2008-08-28,,,7759359,2010-07-20,METHOD OF TREATING BLADDER DYSFUNCTION WITH ONCE-A-DAY TROSPIUM SALT FORMULATION,UNDISCOUNTED,false,US20080207663A1-20080828,2008-08-14,2008-08-28,,,A61K31438,A61K31438,False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,A61K,2007
11889985,2007-08-17,Utility,"SCHLIENTZ, NATHAN W",1616,514,299000,5956.0,5176.1001-016,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-09-03,ELECTRONIC,,US20080207664A1,2008-08-28,,,7763635,2010-07-27,ONCE DAILY DOSAGE FORMS OF TROSPIUM,UNDISCOUNTED,false,US20080207664A1-20080828,2008-08-14,2008-08-28,,,A61K31438,"A61K31438, A61P1306",False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,A61K,2007
11890656,2007-08-06,Utility,"PENG, BO",1648,435,456000,8474.0,159792008404,Patented Case,2010-11-17,ELECTRONIC,,US20080206197A1,2008-08-28,,,7846729,2010-12-07,METABOLICALLY ACTIVATED RECOMBINANT VIRAL VECTORS AND METHODS FOR THEIR PREPARATION AND USE,UNDISCOUNTED,false,US20080206197A1-20080828,2008-08-14,2008-08-28,,,A61K3576,"A61K3576, C12N1500, C12N506, C12P1934, C40B5006, C12Q102, C12N1587, C40B4008, C12N700",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61K,2007
11891233,2007-08-09,Utility,"BERHANE, ADOLF D",2838,363,144000,1559.0,COM-0007US,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2021-03-29,ELECTRONIC,,US20080012425A1,2008-01-17,,,7495941,2009-02-24,POWER SUPPLY EQUIPMENT WITH MATCHING INDICATORS ON CONVERTER AND CONNECTOR ADAPTERS,UNDISCOUNTED,false,US20080012425A1-20080117,2008-01-02,2008-01-17,,,H02J100,H02J100,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,H02J,2007
11891431,2007-08-09,Utility,"THOMPSON, KENNETH L",3672,166,095100,1823.0,60164/D190,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2020-09-28,ELECTRONIC,,US20070272402A1,2007-11-29,,,7416020,2008-08-26,"WELLHEAD ISOLATION TOOL, WELLHEAD ASSEMBLY INCORPORATING THE SAME, AND METHOD OF FRACTURING A WELL",UNDISCOUNTED,false,US20070272402A1-20071129,2007-11-14,2007-11-29,,,E21B4102,"E21B4102, E21B3303, E21B4100",False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,E21B,2007
11892014,2007-08-17,Utility,"HUI, SAN MING R",1617,514,170000,5007.0,2710.1670003/JUK/SAS,Patented Case,2009-10-21,ELECTRONIC,,US20080064670A1,2008-03-13,,,7615545,2009-11-10,ORAL CONTRACEPTIVES TO PREVENT PREGNANCY AND DIMINISH PREMENSTRUAL SYMPTOMATOLOGY,UNDISCOUNTED,false,US20080064670A1-20080313,2008-02-27,2008-03-13,,,A61K3156,"A61K3156, A61K31565, A61K3157, A61P1518",False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,A61K,2007
11892026,2007-08-17,Utility,"KAROL, JODY LYNN",1627,514,170000,5201.0,,Patented Case,2013-03-20,ELECTRONIC,,US20080125402A1,2008-05-29,,,8415332,2013-04-09,Methods of hormonal treatment utilizing ascending-dose extended cycle regimens,UNDISCOUNTED,false,US20080125402A1-20080529,2008-05-14,2008-05-29,,,A61K3157,"A61K3157, A61P1518, A61P1710",False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,A61K,2007
11892053,2007-08-20,Utility,"CAO, PHAT X",2814,257,213000,5620.0,079195-0189,Patented Case,2010-04-14,ELECTRONIC,,US20080042214A1,2008-02-21,,,7709900,2010-05-04,SEMICONDUCTOR DEVICE,UNDISCOUNTED,false,US20080042214A1-20080221,2008-02-06,2008-02-21,,,H01L27092,"H01L27092, H01L2978",True,1,CONT-ACCEPTED,CONT-ACCEPTED,1,H01L,2007
11892363,2007-08-22,Utility,"CABRAL, ROBERT S",1618,424,451000,8954.0,Maint4due 2/5/2016 40560x,Patented Case,2013-01-16,ELECTRONIC,,US20080171084A1,2008-07-17,,,8367102,2013-02-05,PHARMACEUTICAL SEMI-SOLID COMPOSITION OF ISOTRETINOIN,UNDISCOUNTED,false,US20080171084A1-20080717,2008-07-01,2008-07-17,,,A61K31202,"A61K31202, A61K948",True,1,CONT-ACCEPTED,CONT-ACCEPTED,2,A61K,2007
11893056,2007-08-14,Utility,"MCCOY, RICHARD ANTHONY",2431,726,023000,3861.0,QSEC.P002,Patented Case,2015-07-29,ELECTRONIC,,US20080209505A1,2008-08-28,,,9111088,2015-08-18,Policy-based physical security system for restricting access to computer resources and data flow through network equipment,UNDISCOUNTED,false,US20080209505A1-20080828,2008-08-14,2008-08-28,,,G06F2100,G06F2100,False,0,ACCEPTED,ACCEPTED,1,G06F,2007
11893057,2007-08-14,Utility,"KING, JOHN B",2435,726,016000,3863.0,QSEC.P001,Patented Case,2012-07-11,ELECTRONIC,,US20080209506A1,2008-08-28,,,8234704,2012-07-31,PHYSICAL ACCESS CONTROL AND SECURITY MONITORING SYSTEM UTILIZING A NORMALIZED DATA FORMAT,UNDISCOUNTED,false,US20080209506A1-20080828,2008-08-14,2008-08-28,,,G06F2106,G06F2106,False,0,ACCEPTED,ACCEPTED,1,G06F,2007
